parent_taxon_id,taxon_id,rank_level,leaf_class_id,iconic_class_id,spatial_class_id,spatial_threshold,name
320509,1070950,25,,,1442,,Eudamini
1070950,1456838,24,,,1961,,Eudamina
1456838,81560,20,,,1133,,Epargyreus
81560,81559,10,153,0,153,0.02659396,Epargyreus clarus
47224,47922,30,,,822,,Nymphalidae
47922,58597,27,,,742,,Satyrinae
58597,58598,25,,,1924,,Satyrini
58598,58599,24,,,1291,,Lethina
58599,52593,20,,,1407,,Pararge
52593,52592,10,178,0,178,0.016228013,Pararge aegeria
58599,89353,20,,,735,,Lasiommata
89353,147298,10,48,0,48,0.012483256,Lasiommata megera
58598,202100,24,,,1903,,Coenonymphina
202100,52590,20,,,1713,,Coenonympha
52590,52589,10,424,0,424,0.007158273,Coenonympha pamphilus
58598,208488,24,,,1805,,Maniolina
208488,55654,20,,,1838,,Maniola
55654,55653,10,352,0,352,0.025986174,Maniola jurtina
208488,62427,20,,,1772,,Aphantopus
62427,62426,10,387,0,387,0.017843457,Aphantopus hyperantus
58598,208491,24,,,1446,,Melanargiina
208491,89828,20,,,534,,Melanargia
89828,130398,10,360,0,360,0.037163306,Melanargia galathea
47922,60854,27,,,1944,,Heliconiinae
60854,134168,25,,,537,,Argynnini
134168,68246,20,,,1564,,Euptoieta
68246,68244,10,362,0,362,0.0166762,Euptoieta claudia
134168,1117856,20,,,1214,,Argynnis
1117856,1456549,15,,,1592,,Speyeria
1456549,1456562,10,166,0,166,0.022265514,Argynnis cybele
1117856,1456550,15,,,1636,,Argynnis
1456550,123628,10,142,0,142,0.011833527,Argynnis paphia
60854,134173,25,,,1926,,Heliconiini
134173,130349,20,,,1144,,Dione
130349,49151,15,,,1633,,Agraulis
49151,49150,10,420,0,420,0.05473671,Dione vanillae
47922,61244,27,,,1110,,Danainae
61244,134169,25,,,1535,,Danaini
134169,522900,24,,,882,,Danaina
522900,48663,20,,,1041,,Danaus
48663,48662,10,91,0,91,0.019933376,Danaus plexippus
48663,1248776,15,,,1266,,Anosia
1248776,51743,10,92,0,92,0.026195133,Danaus gilippus
47922,85868,27,,,1353,,Libytheinae
85868,58562,20,,,1727,,Libytheana
58562,58561,10,185,0,185,0.010633617,Libytheana carinenta
47922,134166,27,,,1357,,Apaturinae
134166,58588,20,,,1203,,Asterocampa
58588,68264,10,376,0,376,0.030773358,Asterocampa celtis
47922,134171,27,,,1165,,Limenitidinae
134171,134175,25,,,1046,,Limenitidini
134175,50881,20,,,546,,Limenitis
50881,58586,10,459,0,459,0.011231548,Limenitis archippus
47922,202067,27,,,957,,Nymphalinae
202067,130316,25,,,1132,,Melitaeini
130316,52924,20,,,1219,,Phyciodes
52924,52925,10,484,0,484,0.008889856,Phyciodes tharos
202067,202066,25,,,1644,,Nymphalini
202066,48507,20,,,1343,,Vanessa
48507,48548,10,491,0,491,0.0076062293,Vanessa cardui
48507,48549,10,496,0,496,0.010375146,Vanessa virginiensis
48507,49133,10,423,0,423,0.007589256,Vanessa atalanta
202066,49921,20,,,1872,,Nymphalis
49921,56832,10,427,0,427,0.016304681,Nymphalis antiopa
202066,50392,20,,,1810,,Polygonia
50392,56225,10,206,0,206,0.013934205,Polygonia c-album
50392,58579,10,445,0,445,0.011568652,Polygonia interrogationis
202066,54469,20,,,810,,Aglais
54469,54468,10,160,0,160,0.027570436,Aglais urticae
54469,207977,10,379,0,379,0.030963497,Aglais io
202067,202068,25,,,1800,,Victorinini
202068,49764,20,,,656,,Anartia
49764,49761,10,87,0,87,0.04383905,Anartia jatrophae
202067,202224,25,,,1577,,Junoniini
202224,48506,20,,,853,,Junonia
48506,48505,10,263,0,263,0.01679955,Junonia coenia
47224,47923,30,,,1918,,Lycaenidae
47923,58558,27,,,1130,,Polyommatinae
58558,125833,25,,,629,,Polyommatini
125833,522677,24,,,1749,,Everina
522677,122380,20,,,1851,,Cupido
122380,122381,10,366,0,366,0.019829134,Cupido comyntas
125833,522678,24,,,1523,,Polyommatina
522678,55642,20,,,1006,,Polyommatus
